Song,Key
"../Songs/Drake,Sexyy red,SZA - Rich Baby Daddy.mp3",1A
../Songs/Lit Reno - STOP BREATHING!.mp3,3B
"../Songs/Drake,21 Savage,Project Pat - Knife Talk.mp3",3A
../Songs/Lilith1.mp3,11A
../Songs/xihu.mp3,5B
../Songs/Lil Uzi Vert - Just Wanna Rock.mp3,2A
"../Songs/Travis Scott,Kendrick Lamar - goosebumps.mp3",7A
"../Songs/艾志恒Asen,Maikon Flocka Flame - Butterflies.mp3",8B
"../Songs/Lil Durk,J. Cole - All My Life.mp3",8A
"../Songs/¥$,Kanye West,Ty Dolla $ign - VULTURES (feat. Bump J).mp3",2A
../Songs/20min.mp3,12A
../Songs/艾志恒Asen - DAY1.mp3,7A
../Songs/Drake - In My Feelings.mp3,7A
